BÁO CÁO SAO KÊ LỊCH SỬ TỒN KHO
Kỳ báo cáo,"Theo tháng"
Thời gian xuất,"22/09/2026 18:28:36"
Số giao dịch,105
Tổng tăng,1359
Tổng giảm,15
Chênh lệch ròng,1344

Mã LS,Mã biến thể,Sản phẩm,SKU,Size,Màu,Thay đổi,Loại,Mã TK,Người thực hiện,Vai trò,Thời gian
"107","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","-3","Bán hàng","7","PeMinh2k5","Nhân viên bán hàng","22/09/2026 18:25:38"
"106","2","Áo Polo Thể Thao SportShop","8935728482","M","Hồng","8","Chuyển kho nhập","1","duypham","Admin","21/09/2026 23:54:18"
"105","2","Áo Polo Thể Thao SportShop","8935728482","M","Hồng","-8","Chuyển kho xuất","1","duypham","Admin","21/09/2026 23:54:18"
"104","2","Áo Polo Thể Thao SportShop","8935728482","M","Hồng","2","Chuyển kho nhập","1","duypham","Admin","21/09/2026 23:37:29"
"103","2","Áo Polo Thể Thao SportShop","8935728482","M","Hồng","-2","Chuyển kho xuất","1","duypham","Admin","21/09/2026 23:37:29"
"101","426","Nike Phantom 6 Pro TF màu đen/xanh lá HJ4123-001","SP00041-SZ09-MA10","39","Xanh lá","21","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"100","423","Nike Phantom 6 Pro TF màu đen/xanh lá HJ4123-001","SP00041-SZ12-MA10","42","Xanh lá","24","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"99","422","Nike Phantom 6 Pro TF màu đen/xanh lá HJ4123-001","SP00041-SZ13-MA10","43","Xanh lá","22","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"98","421","Bộ quần áo bóng đá Kelme 2026 V1 series xanh lá 8651 ZB12489-339","SP00059-SZ05-MA10","XXL","Xanh lá","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"97","417","Nike Phantom 6 Pro TF màu đen/xanh lá HJ4123-001","SP00041-SZ15-MA10","45","Xanh lá","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"96","416","Nike Phantom 6 Pro TF màu đen/xanh lá HJ4123-001","SP00041-SZ14-MA10","44","Xanh lá","21","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"95","414","Bình nước Adidas Tiro Bottle 0.5L xanh cửu long IW8158","SP00022-SZ28-MA08","Free Size","Xanh","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"94","412","Bộ quần áo ĐTQG Pháp màu xanh FRA26J","SP00050-SZ02-MA08","L","Xanh","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"93","411","Găng tay thủ môn Adidas X Pro màu xanh chuối IA0837","SP00014-SZ28-MA08","Free Size","Xanh","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"92","410","Găng tay thủ môn Adidas X Pro xanh blue IA0836","SP00013-SZ28-MA08","Free Size","Xanh","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"91","409","Bọc ống đồng Nike Mercurial Lite Shinguard màu xanh xám DN3611-395","SP00019-SZ28-MA08","Free Size","Xanh","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"90","408","Bộ quần áo bóng đá CLB Chelsea màu xanh 2025","SP00057-SZ01-MA08","M","Xanh","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"89","407","Bộ quần áo ĐTQG Pháp màu xanh FRA26J","SP00050-SZ01-MA08","M","Xanh","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"88","404","Nike Mercurial Vapor 17 ProTF màu xanh lam IM5811-001","SP00045-SZ15-MA08","45","Xanh","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"87","401","Bộ quần áo ĐTQG Pháp màu xanh FRA26J","SP00050-SZ05-MA08","XXL","Xanh","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"86","400","Bộ quần áo bóng đá CLB Chelsea màu xanh 2025","SP00057-SZ04-MA08","S","Xanh","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"85","399","Bộ quần áo ĐTQG Pháp màu xanh FRA26J","SP00050-SZ04-MA08","S","Xanh","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"84","398","Bộ quần áo bóng đá CLB Chelsea màu xanh 2025","SP00057-SZ05-MA08","XXL","Xanh","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:31:00"
"83","397","Nike Mercurial Vapor 17 ProTF màu xanh lam IM5811-001","SP00045-SZ13-MA08","43","Xanh","11","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"82","396","Nike Mercurial Vapor 17 ProTF màu xanh lam IM5811-001","SP00045-SZ12-MA08","42","Xanh","12","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"81","395","Nike Mercurial Vapor 17 ProTF màu xanh lam IM5811-001","SP00045-SZ11-MA08","41","Xanh","18","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"80","386","Bộ quần áo trẻ em CLB Al Nassr màu vàng NAS26J","SP00058-SZ01-MA07","M","Vàng","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"79","385","Bộ quần áo trẻ em CLB Al Nassr màu vàng NAS26J","SP00058-SZ04-MA07","S","Vàng","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"78","381","Bộ quần áo trẻ em CLB Al Nassr màu vàng NAS26J","SP00058-SZ02-MA07","L","Vàng","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"77","378","Bộ quần áo ĐTQG Anh màu trắng 2026 ENG26","SP00049-SZ01-MA04","M","Trắng","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
